,Occupancy,Performance Metrics,Time,cpu_ratio,mem_fragmentation_ratio,mem_ratio,memtotal,memused,rejected_connections,swap_ratio,swaptotal,swapused,used_memory_human,used_memory_rss_human
40,0.05,SWAP,2021-06-15 17:38:52,0.02,0.85,0.2,125.56,25.25,0,0.05,122.07,5.92,9.11M,7.72M
41,0.02,CPU,2021-06-15 17:38:52,0.02,0.85,0.2,125.56,25.25,0,0.05,122.07,5.92,9.11M,7.72M
44,0.81,Redis,2021-06-15 17:38:53,0.02,0.81,0.2,125.56,25.25,0,0.05,122.07,5.92,9.50M,7.72M
47,0.2,MEM,2021-06-15 17:38:53,0.02,0.81,0.2,125.56,25.25,0,0.05,122.07,5.92,9.50M,7.72M
45,0.05,SWAP,2021-06-15 17:38:53,0.02,0.81,0.2,125.56,25.25,0,0.05,122.07,5.92,9.50M,7.72M
46,0.02,CPU,2021-06-15 17:38:53,0.02,0.81,0.2,125.56,25.25,0,0.05,122.07,5.92,9.50M,7.72M
49,0.2,MEM,2021-06-15 17:38:55,0.02,0.86,0.2,125.56,25.26,0,0.05,122.07,5.92,8.94M,7.72M
48,0.02,CPU,2021-06-15 17:38:55,0.02,0.86,0.2,125.56,25.26,0,0.05,122.07,5.92,8.94M,7.72M
51,0.05,SWAP,2021-06-15 17:38:55,0.02,0.86,0.2,125.56,25.26,0,0.05,122.07,5.92,8.94M,7.72M
50,0.86,Redis,2021-06-15 17:38:55,0.02,0.86,0.2,125.56,25.26,0,0.05,122.07,5.92,8.94M,7.72M
54,0.02,CPU,2021-06-15 17:38:56,0.02,0.86,0.2,125.56,25.27,0,0.05,122.07,5.92,8.94M,7.72M
52,0.2,MEM,2021-06-15 17:38:56,0.02,0.86,0.2,125.56,25.27,0,0.05,122.07,5.92,8.94M,7.72M
53,0.05,SWAP,2021-06-15 17:38:56,0.02,0.86,0.2,125.56,25.27,0,0.05,122.07,5.92,8.94M,7.72M
55,0.86,Redis,2021-06-15 17:38:56,0.02,0.86,0.2,125.56,25.27,0,0.05,122.07,5.92,8.94M,7.72M
59,0.80,Redis,2021-06-15 17:38:57,0.02,0.80,0.2,125.56,25.23,0,0.05,122.07,5.92,9.67M,7.72M
56,0.2,MEM,2021-06-15 17:38:57,0.02,0.80,0.2,125.56,25.23,0,0.05,122.07,5.92,9.67M,7.72M
57,0.02,CPU,2021-06-15 17:38:57,0.02,0.80,0.2,125.56,25.23,0,0.05,122.07,5.92,9.67M,7.72M
58,0.05,SWAP,2021-06-15 17:38:57,0.02,0.80,0.2,125.56,25.23,0,0.05,122.07,5.92,9.67M,7.72M
62,0.83,Redis,2021-06-15 17:38:59,0.02,0.83,0.2,125.56,25.26,0,0.05,122.07,5.92,9.25M,7.72M
61,0.2,MEM,2021-06-15 17:38:59,0.02,0.83,0.2,125.56,25.26,0,0.05,122.07,5.92,9.25M,7.72M
60,0.05,SWAP,2021-06-15 17:38:59,0.02,0.83,0.2,125.56,25.26,0,0.05,122.07,5.92,9.25M,7.72M
63,0.02,CPU,2021-06-15 17:38:59,0.02,0.83,0.2,125.56,25.26,0,0.05,122.07,5.92,9.25M,7.72M
64,0.02,CPU,2021-06-15 17:39:00,0.02,0.84,0.2,125.56,25.27,0,0.05,122.07,5.92,9.18M,7.72M
65,0.2,MEM,2021-06-15 17:39:00,0.02,0.84,0.2,125.56,25.27,0,0.05,122.07,5.92,9.18M,7.72M
66,0.84,Redis,2021-06-15 17:39:00,0.02,0.84,0.2,125.56,25.27,0,0.05,122.07,5.92,9.18M,7.72M
67,0.05,SWAP,2021-06-15 17:39:00,0.02,0.84,0.2,125.56,25.27,0,0.05,122.07,5.92,9.18M,7.72M
68,0.05,SWAP,2021-06-15 17:39:01,0.02,0.84,0.2,125.56,25.27,0,0.05,122.07,5.92,9.15M,7.72M
69,0.2,MEM,2021-06-15 17:39:01,0.02,0.84,0.2,125.56,25.27,0,0.05,122.07,5.92,9.15M,7.72M
70,0.84,Redis,2021-06-15 17:39:01,0.02,0.84,0.2,125.56,25.27,0,0.05,122.07,5.92,9.15M,7.72M
71,0.02,CPU,2021-06-15 17:39:01,0.02,0.84,0.2,125.56,25.27,0,0.05,122.07,5.92,9.15M,7.72M
74,0.83,Redis,2021-06-15 17:39:02,0.02,0.83,0.2,125.56,25.24,0,0.05,122.07,5.92,9.29M,7.72M
75,0.05,SWAP,2021-06-15 17:39:02,0.02,0.83,0.2,125.56,25.24,0,0.05,122.07,5.92,9.29M,7.72M
72,0.02,CPU,2021-06-15 17:39:02,0.02,0.83,0.2,125.56,25.24,0,0.05,122.07,5.92,9.29M,7.72M
73,0.2,MEM,2021-06-15 17:39:02,0.02,0.83,0.2,125.56,25.24,0,0.05,122.07,5.92,9.29M,7.72M
76,0.05,SWAP,2021-06-15 17:39:04,0.02,0.85,0.2,125.56,25.27,0,0.05,122.07,5.92,9.11M,7.72M
77,0.2,MEM,2021-06-15 17:39:04,0.02,0.85,0.2,125.56,25.27,0,0.05,122.07,5.92,9.11M,7.72M
79,0.02,CPU,2021-06-15 17:39:04,0.02,0.85,0.2,125.56,25.27,0,0.05,122.07,5.92,9.11M,7.72M
